"","country","year","gdp","pop","transport.emissions","lgdp","lpop","ltransport.emissions","const","L1.ltransport.emissions","L1.lgdp","L1.lpop","lgdp_sq","transport.emissions_pc","ltransport.emissions_pc","L1.ltransport.emissions_pc","lgdp_EU15","lgdp_EU16","lgdpsq_EU15","lgdpsq_EU16","lpop_EU15","lpop_EU16"
"481","Estonia",1999,12766794868.6188,1390244,1488.55714,23.2701134863428,14.14498982927,7.30556256735761,1,7.31097181427755,23.2741559932614,14.1420450065108,541.498181667273,0.00107071646416025,-6.83942726191235,-6.83107319223325,0,23.2701134863428,0,541.498181667273,0,14.14498982927
"482","Estonia",2000,14057073484.922,1396985,1485.24426,23.3663915569214,14.1498269008873,7.30333452255914,1,7.30556256735761,23.2701134863428,14.14498982927,545.988254391368,0.00106317838774217,-6.84649237832812,-6.83942726191235,0,23.3663915569214,0,545.988254391368,0,14.1498269008873
"483","Estonia",2001,14897630702.9491,1388115,1810.846904,23.424468024029,14.1434572696427,7.50154991758994,1,7.30333452255914,23.3663915569214,14.1498269008873,548.705702208757,0.00130453665870623,-6.64190735205276,-6.84649237832812,0,23.424468024029,0,548.705702208757,0,14.1434572696427
"484","Estonia",2002,15911025756.1189,1379350,1880.051462,23.4902781496326,14.1371229316785,7.53905442885361,1,7.50154991758994,23.424468024029,14.1434572696427,551.793167547107,0.00136299812375394,-6.59806850282486,-6.64190735205276,0,23.4902781496326,0,551.793167547107,0,14.1371229316785
"485","Estonia",2003,17114964029.3745,1370720,1824.630487,23.5632190072246,14.1308467071979,7.50913277263948,1,7.53905442885361,23.4902781496326,14.1371229316785,555.225289982431,0.00133114748964048,-6.62171393455839,-6.59806850282486,0,23.5632190072246,0,555.225289982431,0,14.1308467071979
"486","Estonia",2004,18273211886.7406,1362550,1885.789119,23.6287019930203,14.1248685020939,7.54210164304993,1,7.50913277263948,23.5632190072246,14.1308467071979,558.315557874962,0.00138401461891307,-6.58276685904399,-6.62171393455839,0,23.6287019930203,0,558.315557874962,0,14.1248685020939
"487","Estonia",2005,20007393926.6049,1354775,1976.702407,23.7193677385098,14.1191459468473,7.58918528427319,1,7.54210164304993,23.6287019930203,14.1248685020939,562.608405914659,0.00145906324445019,-6.52996066257413,-6.58276685904399,0,23.7193677385098,0,562.608405914659,0,14.1191459468473
"488","Estonia",2006,21951864272.3811,1346810,2129.336582,23.8121179055435,14.1132493912489,7.66356574633877,1,7.58918528427319,23.7193677385098,14.1191459468473,567.016959147505,0.00158102225406702,-6.44968364491015,-6.52996066257413,0,23.8121179055435,0,567.016959147505,0,14.1132493912489
"489","Estonia",2007,23614406436.6654,1340680,2260.288818,23.8851228049655,14.108687505898,7.72324787967639,1,7.66356574633877,23.8121179055435,14.1132493912489,570.499091408283,0.00168592715487663,-6.38543962622162,-6.44968364491015,0,23.8851228049655,0,570.499091408283,0,14.108687505898
"490","Estonia",2008,22412682982.7979,1337090,2210.026866,23.8328928401633,14.1060061687026,7.70075995099899,1,7.72324787967639,23.8851228049655,14.108687505898,568.006781130707,0.00165286320741311,-6.40524621770361,-6.38543962622162,0,23.8328928401633,0,568.006781130707,0,14.1060061687026
"491","Estonia",2009,19177665818.1893,1334515,1988.899771,23.677012200257,14.1040784879284,7.59533688593017,1,7.70075995099899,23.8328928401633,14.1060061687026,560.600906731119,0.00149035400201571,-6.50874160199823,-6.40524621770361,0,23.677012200257,0,560.600906731119,0,14.1040784879284
"492","Estonia",2010,19693608686.6415,1331475,2063.440068198,23.7035599879007,14.1017979082431,7.63212980500929,1,7.59533688593017,23.677012200257,14.1040784879284,561.858756100007,0.00154974000127528,-6.46966810323382,-6.50874160199823,0,23.7035599879007,0,561.858756100007,0,14.1017979082431
"493","Estonia",2011,21159588085.6848,1327439,2113.44485293,23.775358977097,14.0987620800067,7.65607452689614,1,7.63212980500929,23.7035599879007,14.1017979082431,565.267694489827,0.00159212201308685,-6.44268755311053,-6.46966810323382,0,23.775358977097,0,565.267694489827,0,14.0987620800067
"494","Estonia",2012,21820792033.3445,1322696,2156.2511937,23.806129115196,14.0951826358922,7.67612643437952,1,7.65607452689614,23.775358977097,14.0987620800067,566.731783449383,0.00163019408367456,-6.41905620151271,-6.44268755311053,0,23.806129115196,0,566.731783449383,0,14.0951826358922
"495","Estonia",2013,22114540881.364,1317997,2117.59729434,23.8195011875431,14.091623717866,7.6580373732109,1,7.67612643437952,23.806129115196,14.0951826358922,567.368636823367,0.00160667838723457,-6.43358634465507,-6.41905620151271,0,23.8195011875431,0,567.368636823367,0,14.091623717866
"496","Estonia",2014,22775174270.8342,1314545,2131.8171697,23.848936931911,14.089001156115,7.66473002630835,1,7.6580373732109,23.8195011875431,14.091623717866,568.771792782268,0.00162171486689311,-6.42427112980664,-6.43358634465507,0,23.848936931911,0,568.771792782268,0,14.089001156115
"497","Estonia",2015,23195350085.62,1315407,2197.8890357,23.8672176681865,14.0896566814104,7.69525264947628,1,7.66473002630835,23.848936931911,14.089001156115,569.644079220594,0.00167088135892541,-6.39440403193414,-6.42427112980664,0,23.8672176681865,0,569.644079220594,0,14.0896566814104
"498","Estonia",2016,23805751474.0505,1315790,2297.49728138574,23.8931930470027,14.089947803666,7.73957567093675,1,7.69525264947628,23.8672176681865,14.0896566814104,570.884673981338,0.00174609723541427,-6.3503721327292,-6.39440403193414,0,23.8931930470027,0,570.884673981338,0,14.089947803666
"499","Estonia",2017,25174297012.6978,1317384,2389.90011840828,23.9490893511372,14.0911585099806,7.7790068525913,1,7.73957567093675,23.8931930470027,14.089947803666,573.558880748753,0.00181412565995054,-6.31215165738932,-6.3503721327292,0,23.9490893511372,0,573.558880748753,0,14.0911585099806
"500","Estonia",2018,26372885186.8117,1321977,2375.50912462666,23.9956022430373,14.0946389013604,7.77296706175901,1,7.7790068525913,23.9490893511372,14.0911585099806,575.788927006057,0.00179693680345926,-6.32167183960142,-6.31215165738932,0,23.9956022430373,0,575.788927006057,0,14.0946389013604
"501","Finland",1969,80244512915.2542,NA,NA,25.1083442217311,NA,NA,1,NA,NA,NA,630.428949556938,NA,NA,NA,25.1083442217311,0,630.428949556938,0,NA,NA
"502","Finland",1970,84144524612.637,NA,5278.3933,25.1558016884744,NA,8.57137703114947,1,NA,25.1083442217311,NA,632.814358589852,NA,NA,NA,25.1558016884744,0,632.814358589852,0,NA,NA
"503","Finland",1971,86127743958.7053,4612124,5548.67132,25.1790974259609,15.344199046393,8.62131377627749,1,8.57137703114947,25.1558016884744,NA,633.986947186031,0.00120306204256434,-6.72288527011551,NA,25.1790974259609,0,633.986947186031,0,15.344199046393,0
"504","Finland",1972,92790143299.3372,4639657,5869.45,25.2536062566506,15.3501509990562,8.67751621166912,1,8.62131377627749,25.1790974259609,15.344199046393,637.744628965942,0.00126506118879046,-6.67263478738712,-6.72288527011551,25.2536062566506,0,637.744628965942,0,15.3501509990562,0
"505","Finland",1973,99270447207.898,4666081,6355.9032,25.3211137525031,15.3558300910356,8.75713929783642,1,8.67751621166912,25.2536062566506,15.3501509990562,641.158801667202,0.00136215020699383,-6.59869079319922,-6.67263478738712,25.3211137525031,0,641.158801667202,0,15.3558300910356,0
"506","Finland",1974,102483368664.734,4690574,6139.2467,25.3529663654304,15.3610655209934,8.72245732631807,1,8.75713929783642,25.3211137525031,15.3558300910356,642.772903526645,0.00130884763783707,-6.63860819467529,-6.59869079319922,25.3529663654304,0,642.772903526645,0,15.3610655209934,0
"507","Finland",1975,104333088665.37,4711440,6672.0428,25.3708543937554,15.36550415175,8.80568135888611,1,8.72245732631807,25.3529663654304,15.3610655209934,643.680252669138,0.00141613663763096,-6.55982279286391,-6.63860819467529,25.3708543937554,0,643.680252669138,0,15.36550415175,0
"508","Finland",1976,104692393900.605,4725664,6796.7869,25.3742923055804,15.3685186381372,8.82420526478806,1,8.80568135888611,25.3708543937554,15.36550415175,643.854710009037,0.00143827129901745,-6.54431337334916,-6.55982279286391,25.3742923055804,0,643.854710009037,0,15.3685186381372,0
"509","Finland",1977,104943143133.378,4738902,6884.8029,25.3766845464753,15.3713160212677,8.837071783302,1,8.82420526478806,25.3742923055804,15.3685186381372,643.976118571318,0.00145282660413741,-6.53424423796566,-6.54431337334916,25.3766845464753,0,643.976118571318,0,15.3713160212677,0
"510","Finland",1978,108007176501.761,4752528,7009.0547,25.4054635109534,15.3741872449633,8.85495812072155,1,8.837071783302,25.3766845464753,15.3713160212677,645.437576206385,0.00147480555611666,-6.5192291242418,-6.53424423796566,25.4054635109534,0,645.437576206385,0,15.3741872449633,0
